Player_ID,Full_Name,Gender,Country,Continent,Date_of_Birth,Age,Height_cm,Weight_kg,Playing_Hand,Playing_Style,World_Ranking,National_Ranking,Career_Matches_Played,Career_Matches_Won,Win_Percentage,Titles_Won,International_Titles,Years_Active,Current_Status,Average_Match_Duration_Min,Average_Reaction_Time_ms,Serve_Speed_kmh,Ranking_Points,Injury_History,Last_Updated
1,Fan Zhendong,MALE,China,Asia,1997-01-22,28,175,59,Right,Offensive,1,1,670,553,82.54,15,7,11,Active,25.3,233,63,5222,None,2024-12-31
2,Wang Chuqin,MALE,China,Asia,2000-05-11,25,182,83,Left,All-round,2,2,572,499,87.24,21,14,18,Active,29.1,206,78,2844,None,2024-12-31
3,Ma Long,MALE,China,Asia,1988-10-20,37,189,71,Left,All-round,3,4,487,364,74.74,27,6,13,Active,29.5,234,80,2763,Minor,2024-12-31
4,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,176,57,Right,All-round,4,3,373,234,62.73,28,16,13,Active,32.8,237,74,3753,None,2024-12-31
5,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,172,56,Left,All-round,5,4,524,403,76.91,30,25,14,Active,37.8,218,65,2621,Minor,2024-12-31
6,Xu Xin,MALE,China,Asia,1990-01-08,36,190,80,Left,Offensive,6,5,361,230,63.71,20,4,15,Active,27.2,216,84,4938,Minor,2024-12-31
7,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,179,68,Right,Offensive,7,1,460,284,61.74,8,20,10,Active,24.9,199,79,2916,Minor,2024-12-31
8,Truls Moregard,MALE,Sweden,Europe,1993-12-10,32,174,71,Right,Offensive,8,4,335,295,88.06,36,18,15,Active,32.2,238,68,5496,None,2024-12-31
9,Felix Lebrun,MALE,France,Europe,2006-09-12,19,170,83,Left,All-round,9,2,726,476,65.56,16,19,14,Active,26.5,188,64,5589,None,2024-12-31
10,Dang Qiu,MALE,Germany,Europe,1993-05-15,32,186,79,Left,All-round,10,3,883,567,64.21,15,8,16,Active,23.4,221,73,3766,Minor,2024-12-31
11,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,180,79,Right,Offensive,11,2,387,259,66.93,14,22,10,Active,28.4,198,67,5152,Minor,2024-12-31
12,Chen Meng,FEMALE,China,Asia,1994-01-15,32,190,78,Right,Offensive,12,3,262,177,67.56,13,3,17,Active,36.6,240,84,3996,Minor,2024-12-31
13,Wang Manyu,FEMALE,China,Asia,1995-06-16,30,176,74,Left,Offensive,13,3,437,374,85.58,25,24,15,Active,23.2,232,72,2858,Minor,2024-12-31
14,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,186,71,Left,Offensive,14,1,745,494,66.31,12,7,17,Active,35.8,229,73,3259,Minor,2024-12-31
15,Hina Hayata,FEMALE,Japan,Asia,1997-09-24,28,186,82,Left,Offensive,15,1,838,675,80.55,23,21,14,Active,26.9,195,80,3683,Minor,2024-12-31
16,Bernadette Szocs,FEMALE,Romania,Europe,1995-11-18,30,183,60,Left,All-round,16,5,556,480,86.33,23,10,8,Active,26.2,194,76,2795,Minor,2024-12-31
17,Bruna Takahashi,FEMALE,Brazil,South America,2001-06-14,24,173,79,Left,All-round,17,3,417,261,62.59,27,9,12,Active,31.2,218,71,2699,Minor,2024-12-31
18,Adriana Diaz,FEMALE,Puerto Rico,North America,1993-04-15,32,173,60,Left,All-round,18,5,374,300,80.21,25,11,14,Active,27.0,210,72,3183,Minor,2024-12-31
19,Sofia Polcanova,FEMALE,Austria,Europe,2001-11-13,24,178,68,Left,Offensive,19,2,512,409,79.88,23,24,11,Active,26.3,238,74,5702,Minor,2024-12-31
20,Doha Hany,FEMALE,Egypt,Africa,1996-08-02,29,165,79,Right,All-round,20,2,431,275,63.81,11,16,9,Active,23.4,191,63,3332,None,2024-12-31
21,Fan Zhendong,MALE,China,Asia,1997-01-22,28,183,82,Left,All-round,21,1,459,316,68.85,32,12,11,Active,24.4,204,62,2868,Minor,2024-12-31
22,Wang Chuqin,MALE,China,Asia,2000-05-11,25,167,81,Left,All-round,22,3,816,673,82.48,23,5,17,Active,28.5,234,72,5526,None,2024-12-31
23,Ma Long,MALE,China,Asia,1988-10-20,37,170,79,Right,Offensive,23,4,559,460,82.29,28,16,11,Active,22.5,237,69,5928,Minor,2024-12-31
24,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,190,62,Left,All-round,24,3,844,752,89.1,14,6,12,Active,31.4,216,72,5923,Minor,2024-12-31
25,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,169,73,Right,All-round,25,5,738,581,78.73,37,22,10,Active,34.5,198,83,4930,Minor,2024-12-31
26,Xu Xin,MALE,China,Asia,1990-01-08,36,177,78,Left,Offensive,26,2,418,320,76.56,35,5,17,Active,25.1,228,76,4815,Minor,2024-12-31
